id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
76,ecuador,UTC,image-alt,critical,1.1.1,Perceptible,A,17,Images must have alternative text
76,ecuador,UTC,frame-title,serious,4.1.2,Robusto,A,2,Frames must have an accessible name
76,ecuador,UTC,color-contrast,serious,1.4.3,Perceptible,AA,1,Elements must meet minimum color contrast ratio thresholds
76,ecuador,UTC,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
77,ecuador,UTMACH,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
77,ecuador,UTMACH,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
77,ecuador,UTMACH,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
77,ecuador,UTMACH,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
78,ecuador,UTM,aria-hidden-focus,serious,4.1.2,Robusto,A,13,ARIA hidden element must not be focusable or contain focusable elements
78,ecuador,UTM,link-name,serious,2.4.4,Operable,A,10,Links must have discernible text
78,ecuador,UTM,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
78,ecuador,UTM,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
78,ecuador,UTM,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
79,ecuador,UTN,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
79,ecuador,UTN,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
79,ecuador,UTN,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
79,ecuador,UTN,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
80,ecuador,UTEQ,aria-hidden-focus,serious,4.1.2,Robusto,A,103,ARIA hidden element must not be focusable or contain focusable elements
80,ecuador,UTEQ,listitem,serious,1.3.1,Perceptible,A,3,<li> elements must be contained in a <ul> or <ol>
80,ecuador,UTEQ,list,serious,1.3.1,Perceptible,A,2,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
80,ecuador,UTEQ,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
80,ecuador,UTEQ,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
81,ecuador,UTELVT,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,17,Elements must meet enhanced color contrast ratio thresholds
