id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
41,ecuador,UTE,link-name,serious,2.4.4,Operable,A,9,Links must have discernible text
41,ecuador,UTE,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
42,ecuador,UDA,color-contrast,serious,1.4.3,Perceptible,AA,12,Elements must meet minimum color contrast ratio thresholds
42,ecuador,UDA,link-name,serious,2.4.4,Operable,A,12,Links must have discernible text
42,ecuador,UDA,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,6,Elements must meet enhanced color contrast ratio thresholds
42,ecuador,UDA,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
43,ecuador,UPS,aria-input-field-name,serious,4.1.2,Robusto,A,3,ARIA input fields must have an accessible name
43,ecuador,UPS,aria-required-children,critical,1.3.1,Perceptible,A,3,Certain ARIA roles must contain particular children
43,ecuador,UPS,link-name,serious,2.4.4,Operable,A,2,Links must have discernible text
43,ecuador,UPS,list,serious,1.3.1,Perceptible,A,2,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
44,ecuador,UISEK,link-name,serious,2.4.4,Operable,A,11,Links must have discernible text
44,ecuador,UISEK,color-contrast,serious,1.4.3,Perceptible,AA,10,Elements must meet minimum color contrast ratio thresholds
44,ecuador,UISEK,select-name,critical,4.1.2,Robusto,A,5,Select element must have an accessible name
44,ecuador,UISEK,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
44,ecuador,UISEK,label,critical,4.1.2,Robusto,A,1,Form elements must have labels
45,ecuador,UEES,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,16,Elements must meet enhanced color contrast ratio thresholds
45,ecuador,UEES,color-contrast,serious,1.4.3,Perceptible,AA,8,Elements must meet minimum color contrast ratio thresholds
45,ecuador,UEES,link-name,serious,2.4.4,Operable,A,5,Links must have discernible text
45,ecuador,UEES,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
46,ecuador,USFQ,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,34,Elements must meet enhanced color contrast ratio thresholds
