grupo,abbr,indicador,columna_apendice,valor,corregida_reverificacion
mundo,Karolinska,declaracion_accesibilidad,Acc.,si,no
mundo,TU Delft,aviso_privacidad,Not.,si,no
mundo,TU Delft,marco_normativo,Frm.,si,no
mundo,TU Delft,derechos,Rts.,si,no
mundo,TU Delft,contacto_dpo,DPO,si,no
mundo,TU Delft,politica_cookies,Ckp.,si,no
mundo,TU Delft,declaracion_accesibilidad,Acc.,si,no
mundo,ANU,aviso_privacidad,Not.,si,no
mundo,ANU,marco_normativo,Frm.,si,no
mundo,ANU,derechos,Rts.,parcial,no
mundo,ANU,contacto_dpo,DPO,si,no
mundo,ANU,politica_cookies,Ckp.,no,no
mundo,ANU,declaracion_accesibilidad,Acc.,si,no
mundo,KU Leuven,aviso_privacidad,Not.,si,no
mundo,KU Leuven,marco_normativo,Frm.,si,no
mundo,KU Leuven,derechos,Rts.,si,no
mundo,KU Leuven,contacto_dpo,DPO,si,no
mundo,KU Leuven,politica_cookies,Ckp.,si,no
mundo,KU Leuven,declaracion_accesibilidad,Acc.,si,no
mundo,Queensland,aviso_privacidad,Not.,si,no
mundo,Queensland,marco_normativo,Frm.,si,no
mundo,Queensland,derechos,Rts.,si,no
mundo,Queensland,contacto_dpo,DPO,si,no
mundo,Queensland,politica_cookies,Ckp.,no,no
mundo,Queensland,declaracion_accesibilidad,Acc.,si,no
ecuador,EPN,aviso_privacidad,Notice,si,no
ecuador,EPN,marco_normativo,LOPDP,si,no
ecuador,EPN,derechos,Rights,si,no
ecuador,EPN,contacto_dpo,DPO,no,no
ecuador,EPN,declaracion_accesibilidad,Acc.,no,no
ecuador,EPN,transparencia_lotaip,Transp.,si,no
ecuador,ESPOL,aviso_privacidad,Notice,si,no
ecuador,ESPOL,marco_normativo,LOPDP,si,no
ecuador,ESPOL,derechos,Rights,si,no
ecuador,ESPOL,contacto_dpo,DPO,si,no
ecuador,ESPOL,declaracion_accesibilidad,Acc.,no,no
ecuador,ESPOL,transparencia_lotaip,Transp.,si,no
ecuador,ESPOCH,aviso_privacidad,Notice,no,no
ecuador,ESPOCH,marco_normativo,LOPDP,no,no
ecuador,ESPOCH,derechos,Rights,no,no
ecuador,ESPOCH,contacto_dpo,DPO,no,no
ecuador,ESPOCH,declaracion_accesibilidad,Acc.,no,no
ecuador,ESPOCH,transparencia_lotaip,Transp.,si,no
ecuador,ESPAM MFL,aviso_privacidad,Notice,no,no
ecuador,ESPAM MFL,marco_normativo,LOPDP,no,no
ecuador,ESPAM MFL,derechos,Rights,no,no
ecuador,ESPAM MFL,contacto_dpo,DPO,no,no
ecuador,ESPAM MFL,declaracion_accesibilidad,Acc.,no,no
ecuador,ESPAM MFL,transparencia_lotaip,Transp.,si,no
ecuador,ESPE,aviso_privacidad,Notice,si,no
ecuador,ESPE,marco_normativo,LOPDP,si,no
ecuador,ESPE,derechos,Rights,si,no
ecuador,ESPE,contacto_dpo,DPO,si,no
ecuador,ESPE,declaracion_accesibilidad,Acc.,si,no
ecuador,ESPE,transparencia_lotaip,Transp.,si,no
ecuador,UCE,aviso_privacidad,Notice,nv,no
