fecha_hora	codigo	hoja	bloque	sitio	regla	resultado
2026-09-11T06:27:08	R04	111	160	UPS	qt1vmo	cumple
2026-09-11T06:28:52	R04	111	161	UPS	qt1vmo	cumple
2026-09-11T06:28:57	R04	111	162	UPS	qt1vmo	cumple
2026-09-11T06:29:00	R04	111	163	UPS	qt1vmo	cumple
2026-09-11T06:29:49	R04	111	164	UPS	qt1vmo	falla
2026-09-11T06:30:54	R04	111	165	UPS	qt1vmo	falla
2026-09-11T06:31:04	R04	111	166	UPS	qt1vmo	falla
2026-09-11T06:31:30	R04	111	167	UPS	qt1vmo	cumple
2026-09-11T06:31:45	R04	111	168	UPS	qt1vmo	cumple
2026-09-11T06:31:55	R04	111	169	UPS	qt1vmo	cumple
2026-09-11T06:32:05	R04	111	170	UPS	qt1vmo	cumple
2026-09-11T06:34:15	R04	111	171	UPS	qt1vmo	falla
2026-09-11T06:35:58	R04	111	172	UPS	qt1vmo	falla
2026-09-11T06:36:16	R04	111	173	UPS	qt1vmo	falla
2026-09-11T06:36:32	R04	111	174	UPS	qt1vmo	falla
2026-09-11T06:37:16	R04	111	175	UPS	qt1vmo	falla
2026-09-11T06:37:33	R04	111	176	UPS	qt1vmo	falla
2026-09-11T06:39:25	R04	111	177	UPS	qt1vmo	falla
2026-09-11T06:39:32	R04	111	178	UPS	qt1vmo	falla
2026-09-11T06:39:47	R04	111	179	UPS	qt1vmo	falla
2026-09-11T06:39:51	R04	111	180	UPS	qt1vmo	falla
2026-09-11T06:40:22	R04	111	181	UPS	qt1vmo	falla
2026-09-11T06:40:32	R04	111	182	UPS	qt1vmo	falla
2026-09-11T06:40:42	R04	111	183	UPS	qt1vmo	falla
2026-09-11T06:41:17	R04	111	184	UPS	qt1vmo	cumple
2026-09-11T06:41:28	R04	111	185	UPS	qt1vmo	falla
2026-09-11T06:41:33	R04	111	186	UPS	qt1vmo	falla
2026-09-11T06:41:37	R04	111	187	UPS	qt1vmo	falla
2026-09-11T06:41:42	R04	111	188	UPS	qt1vmo	falla
2026-09-11T06:42:16	R04	111	189	UPS	qt1vmo	cumple
2026-09-11T06:42:34	R04	111	190	UPS	qt1vmo	cumple
2026-09-11T06:43:10	R04	111	191	UPS	qt1vmo	falla
2026-09-11T06:43:46	R04	111	192	UPS	qt1vmo	cumple
2026-09-11T06:44:05	R04	111	193	UPS	qt1vmo	cumple
2026-09-11T06:44:19	R04	111	194	UPS	qt1vmo	cumple
2026-09-11T06:44:30	R04	111	195	UPS	qt1vmo	cumple
2026-09-11T06:44:40	R04	111	196	UPS	qt1vmo	cumple
2026-09-11T06:44:43	R04	111	197	UPS	qt1vmo	cumple
2026-09-11T06:44:59	R04	111	198	UPS	qt1vmo	falla
2026-09-11T06:45:09	R04	111	199	UPS	qt1vmo	cumple
2026-09-11T06:45:12	R04	111	200	UPS	qt1vmo	cumple
2026-09-11T06:45:19	R04	111	201	UPS	qt1vmo	cumple
2026-09-11T06:57:57	R04	111	202	UPS	qt1vmo	falla
2026-09-11T06:59:15	R04	111	203	UPS	qt1vmo	falla
