id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
65,EC,2,ecuador,ESPOL,EC,https://www.espol.edu.ec,true,,Escuela Superior Politécnica del Litoral,es,1,1,5,4,_ga_2QNGYSJLK4 _ga _gid _gat_gtag_UA_5343888_2,CookieYes,1,4,77,2,67,8,65,10,0,2,ninguno,3,2026-09-07T22:24:14.717Z
66,EC,2,ecuador,ESPOCH,EC,https://www.espoch.edu.ec,true,,Inicio - ESPOCH｜ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,es,1,1,2,0,,CookieYes,1,3,71,17,4,50,54,17,0,0,ninguno,3,2026-09-07T22:24:22.030Z
67,EC,2,ecuador,ESPAM MFL,EC,https://www.espam.edu.ec,true,,ESPAM MFL,es,1,1,0,0,,,0,7,32,14,9,9,21,8,0,3,ninguno,2,2026-09-07T22:24:28.696Z
68,EC,2,ecuador,ESPE,EC,https://www.espe.edu.ec,true,,ESPE | Universidad de las Fuerzas Armadas | Sangolquí,es,1,1,82,8,_ga4wp_cid __utma __utmc __utmz __utmt __utmb _ga_DNYB2YPXC9 _ga,,0,3,20,11,9,0,0,18,0,2,ninguno,2,2026-09-07T22:24:35.482Z
69,EC,2,ecuador,UCE,EC,https://www.uce.edu.ec,true,,home - Universidad Central del Ecuador,es,1,1,13,7,__utma __utmc __utmz __utmt __utmb YSC VISITOR_INFO1_LIVE,,0,8,119,43,11,65,92,26,0,1,ninguno,3,2026-09-07T22:24:41.935Z
70,EC,2,ecuador,UCuenca,EC,https://www.ucuenca.edu.ec,true,,Home - UCUENCA,es-ES,1,1,14,10,pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _ga _ga_23BSZ91CCT _ga4wp_cid fr,,1,4,59,55,4,0,4,40,0,15,ninguno,4,2026-09-07T22:24:47.908Z
71,EC,2,ecuador,UG,EC,https://www.ug.edu.ec,true,,"Universidad de Guayaquil – La universidad más grande, importante y gloriosa del país.",es,1,1,2,0,,,0,1,22,0,0,22,22,0,0,0,AA,3,2026-09-07T22:24:53.963Z
72,EC,2,ecuador,UNL,EC,https://www.unl.edu.ec,true,,Inicio Universidad Nacional de Loja,es,1,1,2,2,_ga_HCDKPL9C20 _ga,CookieYes,0,4,122,115,6,1,14,108,0,0,ninguno,2,2026-09-07T22:24:59.945Z
73,EC,2,ecuador,UAE,EC,https://www.uagraria.edu.ec,true,,UAE - La Nueva Universidad Agraria,es,1,1,4,4,_ga _gid _gat _ga_5PM2XSRM63,,0,5,12,7,5,0,3,2,0,7,ninguno,3,2026-09-07T22:25:06.335Z
74,EC,2,ecuador,UTA,EC,https://uta.edu.ec,true,,UTA,es,1,1,0,0,,,0,3,16,6,3,7,10,0,0,6,ninguno,4,2026-09-07T22:25:12.944Z
75,EC,2,ecuador,UTB,EC,https://utb.edu.ec,true,,Universidad Técnica de Babahoyo | Por ti UTB,es,1,1,9,6,_gid _gat_gtag_UA_68893477_2 YSC VISITOR_INFO1_LIVE _ga_WNXLYS2MLG _ga,,0,6,30,21,9,0,5,20,0,5,ninguno,2,2026-09-07T22:25:18.406Z
76,EC,2,ecuador,UTC,EC,https://www.utc.edu.ec,true,,Universidad Técnica de Cotopaxi > Home,es-ES,1,1,10,2,YSC VISITOR_INFO1_LIVE,,0,5,44,43,1,0,21,21,0,2,ninguno,2,2026-09-07T22:25:25.136Z
77,EC,2,ecuador,UTMACH,EC,https://www.utmachala.edu.ec,true,,Universidad Técnica de Machala,es-ec,1,1,0,0,,,0,4,8,2,6,0,7,1,0,0,ninguno,0,2026-09-07T22:25:29.508Z
78,EC,2,ecuador,UTM,EC,https://www.utm.edu.ec,true,,Universidad Técnica de Manabí - Inicio,es-es,1,1,2,0,,,0,6,45,29,7,9,14,17,0,14,ninguno,2,2026-09-07T22:25:35.952Z
